country,year,gni_per_capita,life_expectancy,population
France,2013,43820,82.219512195122,65997932
France,2014,43350,82.719512195122,66312067
France,2015,41130,82.3219512195122,66548272
France,2016,39100,82.5731707317073,66724104
France,2017,38300,82.5756097560976,66918020
France,2018,41130,82.6756097560976,67158348
France,2019,42470,82.8268292682927,67382061
France,2020,39200,82.1756097560976,67601110
France,2021,43800,82.3243902439024,67842811
France,2022,45180,82.2292682926829,68065015
Germany,2013,47220,80.490243902439,80645605
Germany,2014,47630,81.090243902439,80982500
Germany,2015,45830,80.6414634146341,81686611
Germany,2016,44330,80.990243902439,82348669
Germany,2017,43780,80.9926829268293,82657002
Germany,2018,47540,80.8926829268293,82905782
Germany,2019,49470,81.2926829268293,83092962
Germany,2020,48020,81.0414634146342,83160871
Germany,2021,52140,80.790243902439,83196078
Germany,2022,53800,80.7056097560976,83797985
Italy,2013,35550,82.690243902439,60233948
Italy,2014,34920,83.090243902439,60789140
Italy,2015,33030,82.5439024390244,60730582
Italy,2016,31960,83.2439024390244,60627498
Italy,2017,31370,82.9463414634147,60536709
Italy,2018,33850,83.3463414634146,60421760
Italy,2019,34890,83.4975609756098,59729081
Italy,2020,32430,82.1951219512195,59438851
Italy,2021,36410,82.6463414634146,59133173
Italy,2022,38330,82.9,59013667
Japan,2013,48850,83.3319512195122,127445000
Japan,2014,44440,83.5878048780488,127276000
Japan,2015,39380,83.7939024390244,127141000
Japan,2016,38460,83.9848780487805,127076000
Japan,2017,38930,84.099756097561,126972000
Japan,2018,41800,84.2109756097561,126811000
Japan,2019,41970,84.3563414634146,126633000
Japan,2020,40940,84.56,126261000
Japan,2021,43670,84.4456097560976,125681593
Japan,2022,42550,83.9963414634146,125124989
Netherlands,2013,51960,81.3048780487805,16804432
Netherlands,2014,51600,81.7073170731707,16865008
Netherlands,2015,49250,81.509756097561,16939923
Netherlands,2016,46430,81.5609756097561,17030314
Netherlands,2017,46200,81.7609756097561,17131296
Netherlands,2018,50480,81.8121951219512,17231624
Netherlands,2019,51920,82.1121951219512,17344874
Netherlands,2020,50030,81.3585365853659,17441500
Netherlands,2021,58150,81.309756097561,17533044
Netherlands,2022,60030,81.7146341463415,17700982
Saudi Arabia,2013,28150,76.626,27624004
Saudi Arabia,2014,28440,76.757,28309273
Saudi Arabia,2015,25840,76.918,29816382
Saudi Arabia,2016,23220,77.064,30954198
Saudi Arabia,2017,22320,77.16,30977355
Saudi Arabia,2018,25550,77.212,30196281
Saudi Arabia,2019,27720,77.304,30063799
Saudi Arabia,2020,25640,76.239,31552510
Saudi Arabia,2021,28190,76.936,30784383
Saudi Arabia,2022,31120,77.905,32175224
Spain,2013,29240,83.0780487804878,46620045
Spain,2014,29150,83.2292682926829,46480882
Spain,2015,28460,82.8317073170732,46444832
Spain,2016,27560,83.3292682926829,46484062
Spain,2017,27120,83.2829268292683,46593236
Spain,2018,29340,83.4317073170732,46797754
Spain,2019,30370,83.8317073170732,47134837
Spain,2020,27180,82.3317073170732,47365655
Spain,2021,30110,83.2292682926829,47415794
Spain,2022,32000,83.0829268292683,47759127
Switzerland,2013,90590,82.7975609756098,8089346
Switzerland,2014,88250,83.1975609756098,8188649
Switzerland,2015,86810,82.8975609756098,8282396
Switzerland,2016,83360,83.6024390243903,8373338
Switzerland,2017,80770,83.5512195121951,8451840
Switzerland,2018,82470,83.7536585365854,8514329
Switzerland,2019,83160,83.9048780487805,8575280
Switzerland,2020,81740,83,8638167
Switzerland,2021,90810,83.7512195121951,8704546
Switzerland,2022,95480,83.4536585365854,8777088
United Kingdom,2013,42790,81.0048780487805,64128273
United Kingdom,2014,44580,81.3048780487805,64602298
United Kingdom,2015,44380,80.9560975609756,65116219
United Kingdom,2016,42960,81.1560975609756,65611593
United Kingdom,2017,41660,81.2560975609756,66058859
United Kingdom,2018,42020,81.2560975609756,66460344
United Kingdom,2019,43240,81.4048780487805,66836327
United Kingdom,2020,38770,80.3512195121951,67081234
United Kingdom,2021,45510,80.7,67026292
United Kingdom,2022,48520,82.0585365853659,67791000
United States,2013,53860,78.7414634146342,316059947
United States,2014,55670,78.8414634146341,318386329
United States,2015,56510,78.690243902439,320738994
United States,2016,57060,78.5390243902439,323071755
United States,2017,59130,78.5390243902439,325122128
United States,2018,63360,78.6390243902439,326838199
United States,2019,66220,78.7878048780488,328329953
United States,2020,64620,76.9804878048781,331526933
United States,2021,71500,76.3292682926829,332048977
United States,2022,77460,77.4341463414634,333271411
